102367,341279,260
102366,340056,260
102364,8794496,217
102361,14581595,271
102354,31620,702
102352,64135,217
102351,14886,52
102305,1405131,217
102292,152697,571
102288,77,93
102287,141420,7
102279,100335,161
102263,277,284
102258,1223,473
102217,391,161
102157,1628656,16
101923,97,351
101815,1062420,89
101615,6337632,83
101543,23063,17
101448,476,40
101289,536771,40
101263,234281,158
101205,1449425,213
101194,517434,738
101183,15,4158
101059,1637477,158
101004,34431,40
100959,1893,173
100922,13057390,118
100914,12883735,236
100904,60699,129
100894,12203010,1312
100844,316,149
100841,946744,149
100800,81292,137
100789,29648,168
100785,258123,149
100782,178572,168
100781,94380,149
100764,3687538,137
100758,672166,42
100757,547691,129
100755,4136970,126
100710,39141,0
#####
