55929,999912,226
55928,37359545,362
55895,78912577,49
55861,35168882,2
55810,74538364,231
55768,109080390,210
55673,176133,170
55657,701710,5
55637,37887,129
55620,55225,117
55587,1211562,621
55581,57808,17
55568,33307059,290
55553,812,33
55502,126936,155
55481,4025470,143
55462,111572992,16
55453,102166659,210
55445,1120303,159
55421,58672,159
55400,299,326
55351,533616,79
55298,133884786,38
55207,457076,5
55152,30207,6
55101,8290501,754
55021,18365527,754
54906,16866273,173
54893,16216754,51
54886,195912,512
54817,1200949,93
54575,72855673,220
54561,819571,7972
54560,795626,7972
54553,668064,7972
54542,8818538,761
54536,30020203,372
54524,71455,5
54472,500013,33
54466,6291834,16
54423,3201936,532
54411,1112427,17
54359,3104455,204
54354,60725,159
54258,2910,159
54242,893,609
54234,34732,121
54233,176617,787
54225,543554,37
54218,69996222,372
54215,1243,204
54214,92779,761
54211,5074,787
54186,56621,58
54175,655445,532
54144,102944,156
54134,46204,78
54099,16993711,61
54093,150347,121
54090,164093,215
54063,162567,78
54028,31334716,761
53935,28442309,12
53925,114157,372
53904,27758257,153
53884,405242,787
53875,114117,159
53872,392,107
53853,91163,787
53824,53808445,127
53820,569675,532
53809,27806897,159
53793,156875,485
53786,81836,121
53697,51212471,372
53684,2387525,92
53676,328091,761
53673,3499478,532
53659,9254915,107
53616,311,155
53614,38339,372
53606,5436,115
53592,196527,787
53538,1805307,121
53536,77912,372
53508,10041497,153
53502,2805,100
53501,578983,159
53493,48367,683
53484,216732,532
53472,5449,37
53465,2428,121
53447,5703821,153
53439,5096329,847
53378,1097706,253
53355,55183,1920
53352,22540,44
53350,17699,204
53348,10159,153
53333,11921,62
53332,12924,15
53321,4931,98
53299,68,159
53293,992,159
53276,263,107
53275,23830,80
53258,6199,372
53249,35621,37
53248,291,798
53214,13422117,992
53207,356891,78
53205,321889,37
53201,10839,138
53176,15061590,578
53173,5245,315
53120,336843,153
53092,65538,761
53083,31261748,222
53082,31249320,115
53076,965,77
53066,51474,351
53055,3107422,153
53054,26833,101
53047,7623,77
53018,94337,44
53017,24427,30
52991,4986,37
52989,814743,12
52977,37345845,107
52950,79363,153
52946,1792938,558
52940,68097,532
52909,143207,65
52896,16924,764
52887,111796,71
52886,5565,12511
52877,18787271,107
52871,32062,138
52870,18487615,153
52869,5476,138
52865,18354742,80
52861,29172,51
52857,1467,6
52847,203078,80
52823,23122,30
52812,778485,30
52768,670,0
52762,6620,153
52760,2951,65
52727,91518,51
52720,5875,532
52716,21899,51
52671,25291,116
52644,78734,764
52602,149704,84
52589,324354,210
52577,31614,107
52551,1122,242
52542,148075,107
52522,57928,761
52495,229452,503
52493,166197,503
52484,1082632,319
52456,19335,503
52437,8576769,138
52428,93653,77
52422,60844,10
52418,15486,761
52411,8035984,15
52402,15898,168
52374,57905,708
52367,3704,221
52344,247120,601
52301,700753,221
52288,1965,708
52287,2287,708
52283,270687,708
52271,186953,432
52269,61287,1187
52259,117491,503
52257,570,486
52250,6471,405
52228,17072,17
52227,144211,42
52226,39656,432
52203,548306,503
52201,32089,440
52188,1933,177
52180,453,503
52177,142123,483
52169,235405,57
52166,50947,486
52165,5753,59
52161,3434703,486
52154,11123825,166
52141,3782,69
52137,21466,226
52128,2669,481
52127,17533461,265
52120,629449,483
52108,14756124,177
52107,230416,481
52102,11682,40
52100,5063,503
52097,21444,481
52095,849804,65
52088,38916,162
52085,334563,69
52078,75527,165
52074,9899,93
52058,1644,38
52040,41276,44
52025,13600,69
52024,413915,1377
52023,326981,381
52017,53772,231
52006,563476,499
51954,401,381
51940,148716,785
51924,9008306,198
51918,15809,57
51895,174187,78
51890,174096,864
51889,102010,711
51888,71747,515
51870,580563,82
51864,861741,219
51858,139269,501
51851,380980,517
51839,52953,221
51827,1024923,15830
51810,665,508
51806,178711,508
51802,4563,508
51800,5685,517
51794,96222,57
51786,2582,691
51774,17232,190
51771,3737,470
51754,125013,508
51691,50848,709
51668,17611,83
51646,2584,64
51645,71215,221
51605,4789,67
#####
