132970,67531942,110
132785,1268430,35
132767,1983445,15.75
132688,11860826,238
132673,365,5
132659,7987135,269
132545,20068,56.5
132536,971998,291
132527,1525,38.5
132524,23956,295
132518,4854,5
132499,12302,31.666666666667
132490,5802,168
132487,203383,273
132480,519927,5
132473,2552533,365
132452,952186,103.33333333333
132448,422613,365
132439,69467,365
132430,2071385,17.5
132426,23848,5
132425,6380,50.333333333333
132407,352521,61.5
132394,3392,115.5
132389,14445,5
132385,3077276,2.5
132381,104809126,166
132378,1518,10
132376,28581,121
132361,33498,5
132360,764,313
132359,335712,5
132319,2072955,165
132308,6042383,70
132298,167621,427
132293,2572,118
132289,4233190,13.2
132246,805723,530
132231,33755,12.5
132223,68728,12.5
132216,28226303,55
132202,981516,161
132167,8550,81.4
132162,2131090,530
132161,1179,117
132155,17805430,35
132148,15990,188
132141,1459543,45
132139,183161,188
132118,6752544,43.666666666667
132027,6985197,5
132024,84507,551
132023,6909675,17
132022,1043591,551
132019,182922,5
132015,246605,18
131985,1986938,5
131961,60294600,16
131944,2533288,306.5
131939,22813131,39.4
131897,685609,112
131886,3230158,581
131883,6830406,581
131870,43675,249
131806,23522767,29.4
131792,15413,283
131779,28323570,22.666666666667
131769,555324,115
131767,5666325,115
131732,21607807,54
131720,40615623,134.33333333333
131710,2265367,595
131706,2340653,5
131637,10830084,150
131607,70027,315.5
131574,24537576,134.33333333333
131569,1488231,112
131552,369469,33
131527,1118793,51
131504,11367514,51.214285714286
131495,31817,194
131489,6576228,355
131481,7950956,639
131410,4580083,164
131404,15026577,219
131398,528352,64.428571428571
131388,441546,64.428571428571
131367,63124,639
131366,1559099,15
131348,53349,140
131331,32801,5
131325,159378,290
131320,1181022,107
131310,1609004,290
131242,4137958,17
131226,2370180,667
#####
