72374,1413639,190
72271,6424235,490
72249,24176893,794
72246,14602814,2291
72236,828884,0
72234,386363,221
72208,55178398,119
72195,102172,22
72178,52800994,180
72161,774724,163
72153,4775373,146
72129,16266837,473
72095,21653374,314
72087,80352,322
72081,1876119,527
72078,1643363,906
72076,443437,56
72074,1625540,160
72052,390068,97
72042,68460,674
72012,8996052,74
72002,169980,28
71912,1074794,115
71911,46384,20
71898,2967064,12
71863,236700,84
71832,1754178,413
71799,473300,8
71786,92496667,272
71758,670504,121
71752,529,146
71741,60591178,12
71716,53,52
71699,49244528,121
71690,901976,186
71676,2154074,460
71669,11074663,190
71667,11499117,20
71644,16893824,131
71636,260520,30
71610,13222263,0
71598,238183,992
71595,4226428,276
71585,36860,6
71584,8925,68
71568,10164237,85
71541,20333442,2042
71533,835948,0
71501,597856,214
71492,46961807,794
71491,3598536,454
71449,10677290,57
71414,11053,0
71404,45904662,0
71403,5719386,154
71399,266437,0
71352,45476631,3565
71341,79084,0
71340,244721,79
71315,332670,100
71280,994299,113
71276,13109939,794
71267,724916,96
71257,11468226,65
71206,86028580,272
71200,43691831,3565
71178,15053,75
71168,9567,906
71163,15892348,46
71137,62103161,0
71131,6063973,207
71129,100926,8
71124,4395376,0
71107,4220536,103
71099,29890,382
71070,42354818,3565
71068,234359,31
71060,7257664,1
71007,41409638,0
71006,3726497,61
70960,589056,0
70916,40511454,794
70913,6926497,0
70910,202564,906
70893,805,97
70880,84353,71
70804,53269925,322
70744,124282,0
70669,57148,152
70629,37553110,15
70604,2427392,0
70581,8429,102
70572,2661680,180
70542,991,0
70539,9383678,40
70467,3027774,40
70395,48232,271
70348,2234079,108
70333,610303,120
70326,35058403,794
70300,497948,80
70212,32905,180
70199,34366437,60
70138,34071064,66
70090,75241762,0
70068,5488934,31
70041,5874699,60
70032,5831406,322
69966,2540,96
69928,10717961,303
69897,174869,84
69888,4400787,0
69841,4058717,75
69838,1238,21
69764,36462,324
69760,28394552,272
69744,416766,720
69712,75983,20
69701,762164,56
69681,4891,213
69648,65295,217
69602,767090,194
69593,89571,84
69589,1364768,152
69539,2568691,317
69520,886,181
69519,509464,559
69435,68120,68
69398,4536,82
69396,29482,152
69352,27126507,121
69330,27025999,64
69326,695,0
69311,53587335,250
69264,56033,372
69230,24867044,1078
69213,4890369,152
69203,24971267,48
69163,25903842,32
69148,91047733,56
69129,310450,0
69077,5824,0
69020,41042435,166
69012,2090573,0
69011,2111372,0
68991,21751470,47
68933,4582285,75
68915,428793,158
68880,6387306,15
68866,3642615,84
68842,40950057,454
68825,53143130,981
68815,2454673,31
68801,22293980,358
68800,22293608,358
68746,10362667,10
68735,21578427,28
68724,39383762,40
68714,21312540,36
68698,37551249,786
68697,126605,353
68689,58352,186
68658,20713122,358
68656,154137,21
68648,29138610,1217
68640,555220,353
68636,17969803,39
68631,20526727,51
68596,106288137,13780
68584,19954449,0
68558,5561983,94
68556,106901,353
68524,1034,1235
68520,52944,0
68511,5280354,142
68474,9579,494
68467,37155416,208
68457,4594132,388
68361,300505,27
68352,109812478,0
68326,16973348,486
68322,103391,256
68320,16920821,88
68310,89874172,0
68265,2914813,16
68236,25989012,162
68196,15938790,300
68166,14112111,1680
68150,597092,0
68130,15196489,87
68066,14504363,237
68032,8344394,26
68031,24491831,438
68016,63994,180
67995,302574,154
67946,75120892,788
67942,73052453,644
67939,7816,20
67897,231110,387
67864,13427629,20
67817,30228206,10
67811,2914698,0
67806,13089404,298
67791,43806459,165
67774,12599689,33
67746,57911525,0
67631,11479212,17
67596,25131384,204
67550,38092842,379
67545,11118695,489
67536,11043717,0
67518,22996793,0
67513,10885811,489
67510,10867390,489
67508,10865718,364
67497,505472,154
67460,39641901,142
67456,6510512,296
67450,6488963,296
67378,27162065,115
67345,9556100,26
67339,1403103,142
67311,9214643,152
67277,9028271,8
67212,17635114,367
67208,297200,367
67199,8284333,152
67189,8166636,0
67123,857776,20
67121,7549526,85
67116,81367784,81
67096,21680515,0
67082,552609,108
67058,7138193,644
67049,25870214,3522
67043,4123796,473
67040,6947924,36
67035,3386462,458
67002,2048,28
67001,52785204,20
66984,22630436,61
66964,58587239,1422
66911,26010370,60
66863,1772532,13
66847,48656519,21
66803,2145347,0
66755,646959,20
66748,4352491,272
66737,1462137,173
66724,9197724,33
66663,506089,400
66660,417072,0
66655,3523157,28
66627,14689211,704
66616,8306708,389
66615,17019154,14
66610,3145875,330
66585,2982137,296
66477,5307867,108
66445,2305570,644
66436,2125987,1422
66423,1979740,183
66422,12971496,453
66371,17857825,72
66362,825,165
66343,1359153,12
66335,207363,0
66332,168986,0
66329,62074,111
66319,1180146,340
66301,489316,264
66250,20418675,644
66243,1470422,1093
66242,7689272,28
66239,1447231,1093
66230,5618318,447
66225,9597707,1792
66213,1946704,2361
66212,101104,1318
66199,5296730,502
66175,1636998,330
66149,33161746,466
66148,6210997,104
66144,10978643,1
66139,34975026,559
66130,13339844,692
66105,25401152,5916
66016,3988148,0
66000,16387760,3925
65962,2346840,191
65933,6582119,1644
65888,5976261,929
65887,3375075,149
65885,10947918,529
65863,137489,18
65859,1060735,1298
65856,4487906,827
65854,5675226,94
65769,7668,0
65767,251242,623
65749,147310,623
65745,174676,1129
65741,8500091,12
65732,3169961,2260
65720,1077556,692
65692,5220368,0
65659,11653141,145
65658,924286,1100
65584,76147,1100
65581,70666,1100
65577,59469,1100
65570,24143,559
65560,1542,38
65539,248598,2569
65527,1544353,494
65518,79494,110
65493,1263563,494
65481,10454368,208
65462,874095,1887
65454,36499,15
65420,55448,10
65397,14567835,334
65365,65063228,1648
65361,94875,3019
65357,9529972,38
65311,9458851,2212
65302,33235608,198
65271,170345,477
65249,31927282,21
65247,8878676,54
65201,450725,184
65174,14289565,1569
65162,18674092,36
65154,737862,715
65110,14147437,1650
65099,19154914,576
65083,1818493,14
65078,3649438,22
65076,5011996,0
65060,3017316,213
65055,3561445,718
65049,29604696,1210
65023,6331541,730
65002,595312,5
64989,5643662,3958
64970,4579826,469
64942,4987961,3958
64931,64711,673
64916,2436273,278
64912,1666105,400
64905,4585522,1153
64862,11795568,1301
64835,3362232,76
64819,2662412,585
64812,269862,64
64790,3307054,68
64734,85151,718
64715,48534,2027
64699,560856,165
64696,3929053,52
64622,4903967,69
64618,9154520,1345
64607,3257809,38
64594,159401,198
64555,461939,0
64537,168519,877
64515,772654,454
64492,1081535,1197
64412,39075200,170
64364,30488703,13
64337,177464,449
64308,29947982,12566
64296,119918,0
64261,2577562,111
64222,11200497,0
64210,2978612,581
64165,60173,472
64161,15935268,0
64130,19442294,0
64083,5917685,239
64078,968892,100
64062,5757510,30
64048,16567816,2
64032,2407427,221
63991,3520,50
63973,1019859,78
63941,1121146,6198
63881,16148730,581
63859,2569983,20
63855,26399020,4467
63838,7070668,166
63833,5904506,20
63793,24549561,5635
63764,25026,362
63752,2054187,26
63749,287581,854
63742,88406,266
63732,35073020,1285
63728,84928,854
63710,734679,5680
63621,130501,50
63587,1127011,2721
63540,12106150,581
63538,22211574,144
63535,2444028,238
63528,58498189,0
63477,10288,873
63458,21,543
63439,2232774,266
63424,269726,546
63368,3815871,353
63367,21396195,0
63358,865876,0
63355,5339431,2943
63332,584042,0
63331,21242414,1777
63315,41384854,759
63296,14379,112
63266,238614,231
63254,164721,231
63251,41903779,32
63153,44648,36
63134,1084705,1110
63130,1036751,286
63124,434929,639
63115,6876434,59
63081,4992218,247
63069,785021,25
63049,17170234,541
63019,89694,516
63001,5732152,156
62959,4634554,14338
62901,494474,52
62891,11562087,335
62837,49604501,1277
62832,2123978,554
62799,291680,685
62794,1860368,1812
62789,1796616,554
62747,957827,1749
62728,5753802,2837
62713,234796,38
62704,633826,20
62701,606486,20
62690,568884,40
62681,34399357,61
62670,474134,32
62641,145497,2
62625,45089,0
62553,10205656,0
62551,5991172,0
62537,60415,0
62461,42347197,36
62459,23137979,842
62447,12778,181
62443,169500,1259
62425,16179472,132
62341,371716,13
62337,4231550,39
62327,19397870,54
62307,7382774,13184
62291,8971185,76
62228,836271,3394
62215,2687245,1562
62193,2676520,343
62176,10164952,80
62081,12675,97
62041,39190041,763
61969,19354242,54
61964,6744782,0
61960,2756090,350
61925,3504756,71
61912,27587,421
61901,534498,343
61896,3197952,121
61882,84376,31
61879,17935,325
61878,1837314,427
