124382,4263253,284
123373,6669095,894
122357,6668795,519
122265,6668773,652
122253,416846,7
122089,6668726,804
122069,6668733,2
122051,580779,78
122040,1,563
122039,79714319,3524
121892,66606944,513
121884,108783239,538
121819,6668648,246
121568,6668590,259
121542,6668583,2
121536,6668596,946
121352,6668555,1102
121344,6668539,1133
121321,6668531,703
121309,36276099,904
121301,6668534,1151
121294,6668526,102
121285,6668524,8
121278,6668523,351
121256,6668516,1054
121252,6668516,394
121250,6668516,343
121246,6668518,530
121244,6668515,165
121240,6668514,429
121236,6668514,605
121223,6668509,2963
121216,6668510,2
121213,6668514,6140
121212,6668513,3952
121207,6668508,11261
121197,6668503,553
121186,6668498,127
121181,6668497,317
121171,6668496,1233
121161,6668501,549
121160,6668493,72
121159,6668500,424
121157,6668492,44
121149,6668492,586
121137,6668489,21
121136,6668489,813
121129,6668489,152
121126,6668488,253
121123,6668488,217
121122,980770,1329
121115,6668486,244
121114,26568161,5
121110,6668486,5
121105,6668486,0
121104,6668483,525
121103,6668483,88
121093,6668487,116
121092,6668482,0
121087,18596013,143
121085,6668480,5
121084,6668480,165
121080,6668478,308
121079,6668478,998
121074,6668476,345
121064,20009500,202
121049,6668471,129
121033,6668469,78
121032,6668469,117
121030,6668468,269
121025,6668470,113
121023,6668467,39
121020,6668467,23
121019,6668466,137
121018,6668467,39
121014,6668465,585
121013,6668467,65
121009,104384,120
120998,6668463,637
120990,6668461,0
120989,6668460,339
120988,6668460,398
120983,22260848,424
120981,6668459,95
120979,6668461,71
120977,416530,0
120975,6668460,915
120974,6668456,23
120973,6668456,336
120970,6668461,0
120962,6668455,23
120954,2792,371
120953,6668451,371
120945,6668450,170
120938,6668447,25
120936,6668448,398
120933,6668444,585
120931,6668445,26
120928,6668444,436
120925,6668444,47
120924,6668444,230
120906,6668441,757
120903,20216957,1125
120901,6668439,74
120900,6668439,663
120898,6668438,638
120894,6668438,138
120889,6668437,351
120878,6668435,2
120877,6668436,24
120876,6668437,539
